#Energy data:
#X,Y,Z,Energy
-7.20595,28.3635,353.5,0.152906
-7.35226,28.281,354,3.04898e-32
-7.534,28.0866,354.5,0.177006
-7.71574,27.8922,355,2.86305e-32
-7.65883,27.7191,355.5,0.177968
-7.60192,27.546,356,7.06891e-32
-7.03088,26.9712,356.158,0.256626
-5.8193,26.0796,356.609,0.222434
-5.18212,25.7453,356.951,0.0122997
-5.1855,25.7276,357,2.83682e-32
-5.22053,25.7058,357.236,0.106117
-5.25789,25.7807,357.634,0.0519715
-5.31571,25.9286,357.898,0.0442528
-5.3712,25.9797,358,3.48975e-32
-5.40118,26.0763,358.1,0.0496517
-5.52518,26.2642,358.227,0.0464598
-5.70896,26.4448,358.336,0.105479
-5.89608,26.6505,358.425,0.0523191
-6.11758,26.7842,358.412,0.0420098
-6.37449,26.8171,358.421,0.0565835
-6.64108,26.8573,358.517,0.0533024
-6.85655,26.9757,358.684,0.0610643
-6.97691,27.1912,358.825,0.0744621
-7.00488,27.4261,358.888,0.0972456
-7.00565,27.5084,358.933,0.105514
0.00485173,-0.013682,26.9457,0.0147159
0.00970351,-0.0273642,26.9998,3.08387e-32
0.0606025,-0.156415,27.4998,0.136843
0.111502,-0.285465,27.9998,3.13747e-32
0.21658,-0.421465,28.4998,0.140453
0.321659,-0.557465,28.9998,3.1077e-32
0.364618,-0.624061,29.2323,0.0721704
0.467598,-0.773969,29.7323,0.0839264
0.527619,-0.857281,29.9998,3.17208e-32
0.651299,-1.01825,30.4998,0.193106
0.774978,-1.17922,30.9998,3.10154e-32
0.895747,-1.30236,31.4998,0.170213
1.01652,-1.4255,31.9998,3.00474e-32
1.10196,-1.50551,32.4998,0.136569
1.18741,-1.58552,32.9998,3.09605e-32
1.33378,-1.68322,33.4998,0.158589
1.48016,-1.78093,33.9998,3.0385e-32
1.60586,-1.85816,34.4998,0.169014
1.73156,-1.93539,34.9998,2.98094e-32
1.79734,-2.02726,35.4998,0.220835
1.86312,-2.11912,35.9998,2.93914e-32
1.86451,-2.20289,36.4998,0.142268
1.86591,-2.28666,36.9998,2.96078e-32
1.78782,-2.36268,37.4998,0.135552
1.70974,-2.4387,37.9998,2.92503e-32
1.63051,-2.42084,38.4998,0.237219
1.55128,-2.40298,38.9998,2.95058e-32
1.48201,-2.31273,39.4998,0.193445
1.41274,-2.22248,39.9998,2.89776e-32
1.40767,-2.18197,40.3249,0.075346
1.39134,-2.14276,40.8249,0.0420272
1.38008,-2.14405,40.9998,2.85445e-32
1.36017,-2.16059,41.4998,0.234354
1.34025,-2.17713,41.9998,2.85913e-32
