#Energy data:
#X,Y,Z,Energy
-3.17242,-4.40559,300.923,0.0383746
-3.21641,-4.46082,301,3.80981e-32
-3.41634,-4.71787,301.189,0.164279
-3.86102,-5.15341,301.478,0.15256
-4.39108,-5.49464,301.787,0.208574
-4.67709,-5.65819,301.998,0.000552157
-4.6778,-5.659,302,3.54775e-32
-4.69501,-5.69744,302.057,0.0264187
-4.77207,-5.79539,302.12,0.0383948
-4.84861,-5.9193,302.147,0.0193142
-4.89826,-6.03066,302.209,0.0287206
-4.95265,-6.12174,302.297,0.0276329
-4.96678,-6.22635,302.406,0.0347062
-4.9192,-6.40731,302.497,0.0456057
-4.8553,-6.63443,302.599,0.0564671
-4.86353,-6.80418,302.712,0.130385
-4.9284,-6.91321,302.793,0.0555621
-5.00843,-6.98053,302.856,0.0556898
-5.05886,-6.99645,302.887,0.0545891
0.000378164,-0.000828077,307.783,1.74573
-7.03011,-110.906,335.176,0.00609489
-10.7694,-107.717,329.125,0.012767
-56.8404,-130.186,383.486,0.030222
-39.8984,-113.736,340.07,0.00329106
-38.083,-115.726,328.28,0.00487494
-34.9775,-115.856,325.196,0.00209327
69.2757,-104.756,281.663,0.0116911
72.5424,-104.027,268.242,0.00693117
70.6015,-105.239,263.121,0.000229277
67.013,-107.028,256.217,0.122195
92.7427,-57.5462,292.304,0.00706365
106.251,43.2501,341.089,0.127981
106.587,43.7395,341.215,0.0764561
106.615,44.3237,341.382,0.100297
106.507,44.8346,341.694,0.124803
106.558,45.0739,341.949,0.0202975
106.608,45.1115,342,9.65775e-32
106.679,45.151,342.027,0.0260233
106.821,45.2358,342.075,0.0373235
106.944,45.3285,342.111,0.0196841
107.062,45.4243,342.14,0.0478078
107.19,45.5123,342.197,0.0302908
107.301,45.6097,342.265,0.0262668
107.414,45.7235,342.284,0.0510718
107.497,45.8591,342.28,0.0558688
107.526,46.0271,342.294,0.0492215
107.551,46.2085,342.296,0.0473332
107.613,46.3659,342.328,0.0423247
107.618,46.5105,342.394,0.0674719
107.541,46.5755,342.426,0.0996835
0.168168,0.170696,307.819,2.0415
0.472081,0.477217,307.886,1.96534
0.71534,0.72179,307.935,2.01772
0.907015,0.913419,307.962,1.90103
1.05437,1.05534,307.977,2.16221
1.13897,1.13619,307.987,1.8042
8.21407e-05,-7.45796e-05,285.162,0.0427268
69.3344,-78.509,292.053,0.00053728
69.3312,-78.5363,292.109,0.038154
67.8701,-61.5666,254.921,0.000369612
66.2699,-60.7853,252.255,0.00684477
74.1393,-70.3593,265.274,0.00805167
92.4481,-62.1388,182.604,0.00735788
81.1523,-59.4034,182.008,0.0101517
81.6443,-68.0145,197.814,0.00500844
