#Energy data:
#X,Y,Z,Energy
-7.57263,-10.885,458.77,1.13436
-0.000467237,7.11533e-05,413.57,0.182001
-0.000989783,0.000406563,217.129,1.21627
-0.0267435,-0.0418809,217.194,2.79737
-0.0619734,-0.0956124,217.279,2.04124
0.221958,-144.533,265.731,0.000697299
20.7522,-111.491,194.855,0.025754
17.0358,-107.291,199.034,0.00557336
1.99183,-17.1979,215.858,0.000188076
133.293,65.6653,91.6077,0.000711787
83.2941,-5.07626,56.8003,0.00114392
5.09141,-46.3674,28.5561,0.0211375
-2.68567,-5.58958,90.3186,0.0116728
-28.6426,-2.4017,100.219,0.00535262
-33.0536,-2.94948,99.0365,0.0411894
-33.3645,-10.0015,113.335,0.0100787
-86.0163,83.2965,194.241,0.00834892
-89.7734,0.180964,160.987,0.00377443
-96.901,-14.0524,151.834,0.00669238
-114.805,-44.4588,91.6595,0.0925661
-114.792,-44.4609,91.5819,0.0492352
-109.363,-54.6932,103.847,0.0317379
-109.345,-54.7626,103.81,0.0436194
-109.335,-54.7765,103.763,0.0798104
-68.7477,-16.1389,170.769,0.0537584
-130.404,-57.6953,70.2617,0.00413634
-133.624,-61.8889,74.8571,0.00431773
-109.062,-52.8838,106.852,0.00155297
-111.905,-63.4736,181.818,0.0119511
-119.691,-64.8752,171.398,0.0206329
-97.9711,-84.1492,222.081,0.00281983
-97.6365,-83.6622,223.994,0.0039986
-97.6363,-83.6598,223.996,0.00410708
-97.6359,-83.6579,223.997,0.00363256
-97.6354,-83.6566,223.997,0.00784622
-97.6349,-83.6558,223.997,0.00588546
-101.934,-124.083,222.977,0.012038
-86.377,-139.238,213.237,0.060318
-48.0137,-52.3803,210.911,0.0270004
-32.297,-47.411,212.869,0.0668658
-30.9951,-42.4934,219.114,0.0079402
-31.6204,-39.8332,222.179,0.019626
-31.648,-39.9116,222.224,0.0431106
-31.6959,-39.9692,222.266,0.109193
-3.73665,1.73941,214.09,0.0385785
-3.83338,1.80447,214,3.77853e-32
-4.18375,2.12106,213.5,0.196428
-4.53412,2.43765,213,3.7511e-32
-4.83055,2.80085,212.5,0.197609
-5.12698,3.16405,212,4.4455e-32
-5.50864,3.68296,211.5,0.248468
-5.8903,4.20186,211,5.61891e-32
-6.63192,4.72359,210.5,0.336913
-7.37354,5.24532,210,7.02212e-32
-8.53898,5.53556,209.5,0.551742
-9.70441,5.82579,209,6.63869e-32
-10.4789,6.16682,208.68,0.261439
-11.6927,6.52522,208.18,0.13382
-12.132,6.54259,208,6.2771e-32
-12.4472,6.56848,207.917,0.0960306
-13.0689,6.55261,207.869,0.188289
-13.501,6.52533,207.952,0.0517734
-13.6266,6.53981,208,5.35187e-32
-13.7201,6.54563,208.088,0.0434501
-13.9215,6.59155,208.268,0.0687065
-14.0989,6.72006,208.433,0.0649539
-14.2422,6.8475,208.592,0.0315799
-14.4187,6.90012,208.746,0.170509
-14.5656,6.935,208.908,0.152249
-14.6096,6.95629,209,5.35093e-32
-14.6038,6.95288,209.011,0.00800953
-14.592,6.94404,209.031,0.00303595
-14.5809,6.93642,209.049,0.00359044
-14.5665,6.93133,209.073,0.0114055
-14.5471,6.941,209.11,0.0124307
-14.5241,6.94644,209.166,0.0178272
-14.4795,6.9252,209.24,0.0372314
-14.4181,6.84042,209.295,0.0801774
-14.3948,6.75743,209.312,0.0564514
68.5877,-3.49017,306.188,0.0749158
40.3883,0.594512,275.701,2.08768
40.3659,0.618719,275.726,0.00710189
-44.8985,-96.5799,72.8734,0.339631
0.0735308,0.15817,1.72518,0.50817
0.147062,0.316341,1.99975,1.73129e-31
0.281637,0.603841,2.49975,1.18649
0.416212,0.891341,2.99975,1.75225e-31
0.551991,1.17573,3.49975,1.09877
0.687769,1.46011,3.99975,1.7766e-31
0.825567,1.74413,4.49975,1.25209
0.963365,2.02814,4.99975,1.80109e-31
1.0994,2.3108,5.49976,1.32517
1.23543,2.59346,5.99976,1.835e-31
1.37127,2.87853,6.49976,1.2273
1.50712,3.1636,6.99976,1.87851e-31
1.64797,3.45548,7.49976,1.1381
1.78882,3.74736,7.99976,1.90405e-31
