#Energy data:
#X,Y,Z,Energy
-25.3161,8.71217,202.756,0.0283422
-29.1183,-27.8801,215.737,0.0864653
-0.614892,-28.1482,211.048,0.160437
-2.00883,-26.183,209.671,0.0148507
36.264,-5.78199,195.822,1.02063e-08
37.7746,9.48192,213.569,1.29367e-08
66.5274,20.0163,206.506,3.61852e-08
87.8412,9.6408,217.157,1.83827e-08
100.337,14.9749,216.91,4.68732e-07
84.9952,15.5165,205.329,5.02274e-06
31.684,-102.753,177.439,0.0646798
-13.678,-82.0261,170.814,0.314335
13.3095,20.0504,151.818,0.000263539
-0.492768,40.7051,152.051,0.167353
-5.2059,6.54402,126.187,0.158418
12.101,-22.9219,75.394,0.463433
-58.4421,-113.996,273.666,1.28621e-08
-34.8714,-85.8174,277.356,2.94694e-08
-21.8798,-99.6493,268.986,1.89812e-08
-16.8788,-102.265,263.19,8.40719e-08
2.5156,-89.6454,275.093,1.94177e-08
-13.3258,-118.708,272.543,2.0711e-08
8.57448,-82.1429,261.23,3.06172e-08
6.45424,-71.8138,221.395,4.64206e-09
-13.4977,-57.1866,220.893,2.35377e-09
-16.5719,-48.8544,208.914,4.82632e-08
-8.67655,-28.2184,231.881,8.91305e-09
-7.60055,-22.3404,217.102,3.6418e-08
14.5283,-36.8527,215.024,2.83853e-08
5.17181,0.0978866,152.912,1.15789e-05
2.90412,-3.51922,153.068,3.77341e-06
-33.2709,-10.9996,113.916,0.765303
-44.2152,-4.30089,176.307,1.48716
-58.5778,-42.5148,0.536733,0.441166
0.00060135,0.000436345,5.25211,1.26423
-3.64983,2.89819,31.3584,1.18357
93.0385,-28.9889,175.646,3.81879e-08
89.5709,-19.3538,170.344,5.15101e-08
100.385,-1.0093,186.561,0.00233778
38.6385,-41.2646,174.202,0.166866
29.7656,-13.405,177.504,0.0974866
17.259,104.772,274.543,5.334e-08
0.989481,89.7381,267.89,6.6877e-08
5.59347,97.4968,265.96,7.17773e-09
2.57907,94.6869,254.457,3.86681e-08
18.2359,83.8159,232.197,3.45481e-08
3.14378,86.2788,260.768,6.6937e-08
-1.9363,96.2473,265.388,6.28261e-08
-45.3706,80.5208,250.695,7.81638e-08
-77.9842,82.8804,248.714,4.53383e-08
-71.9959,92.1613,232.686,2.86745e-08
-73.9766,83.9742,216.911,5.21995e-08
-100.261,61.7059,244.685,7.43603e-09
-98.5928,58.9877,235.35,4.29573e-08
-53.5095,54.7349,268.713,7.41438e-08
-56.9469,62.5755,270.848,6.0063e-09
-59.7744,49.0208,268.606,2.18097e-09
-65.039,41.7,272.921,5.37329e-09
-55.4465,29.0663,269.666,1.13669e-08
-77.2396,2.68247,287.946,1.41335e-08
-72.1657,36.9613,249.436,8.13694e-07
-74.419,49.049,256.389,1.51352e-06
-64.2974,42.8832,249.102,7.25628e-07
-47.2829,71.0732,245.932,0.000113128
-103.496,-70.1091,98.5231,6.2757e-08
-101.458,-73.3581,99.4064,7.34726e-08
-104.159,-73.3147,103.303,1.07102e-08
-101.59,-76.3611,99.4319,8.01538e-08
-88.2892,-86.232,98.5357,4.79777e-08
-65.1438,-37.89,75.99,7.19556e-08
-67.6735,-27.5255,62.4404,3.29692e-08
-66.2516,-27.0544,60.0689,2.49584e-08
-66.2645,-26.9148,60.1173,1.01358e-07
-72.5712,-23.6182,66.0046,4.106e-08
-75.9517,-20.4555,78.8278,1.71531e-09
-74.1459,-20.9822,75.4923,2.1766e-08
-81.612,-19.7868,77.1719,1.17675e-06
-0.000275459,0.000539784,3.35405,1.69498
-28.1762,-79.4394,439.812,0.00699332
-24.9402,-65.9776,433.554,0.00337106
-7.15747,-73.7534,425.62,0.0585276
-7.21947,-73.5035,425.95,0.00404559
-93.5337,-34.1868,473.573,0.624276
-24.0083,34.28,102.056,4.0116e-08
-13.38,29.1892,164.927,3.73275e-08
-14.0985,30.5332,188.303,1.55591e-05
-12.6876,29.9029,188.158,2.35207e-05
-3.83812,52.7131,167.887,0.00018678
-27.9942,-2.94185,157.414,0.0151011
-21.1123,-20.215,130.502,0.0128159
-89.3761,107.21,382.36,3.56686e-08
-71.8464,98.3395,387.775,3.13594e-09
-67.5491,98.7317,388.029,1.55651e-08
-67.3659,72.8068,385.191,6.57565e-08
-78.7077,64.7397,382.146,5.58939e-08
-84.8639,50.8427,415.428,0.0577893
-96.7133,52.8012,389.378,0.122549
-35.5002,19.2155,272.127,0.869243
-37.9332,15.3096,273.543,1.06536
-4.16672,26.6555,56.3913,8.24912e-09
-7.03973,20.9934,47.9729,1.27511e-07
-5.61657,19.4615,55.6936,3.37277e-08
-4.10756,27.5766,54.2845,3.82242e-08
-4.76524,38.6169,91.0142,5.44478e-08
-8.80268,35.2097,93.4546,3.85462e-08
-8.92832,5.21558,93.5659,1.28554e-06
12.1836,0.277384,28.2951,0.0233493
22.45,-12.167,95.9806,1.01697
9.44932,-12.3688,88.8771,0.22032
0.000150303,0.000427771,57.851,0.181276
52.1305,-92.417,305.542,1.85792e-08
42.5589,-79.1243,305.816,4.07217e-08
20.9561,-109.834,298.599,1.17707e-08
11.5432,-117.109,291.775,1.38298e-08
9.37612,-83.5276,255.027,7.30382e-07
10.4396,16.3891,124.271,0.195357
149.555,19.9652,122.177,8.49795e-08
139.703,34.3538,138.403,1.9154e-08
112.724,-19.4795,171.613,9.64428e-09
82.9004,-20.6399,158.568,7.5901e-08
79.9235,-5.70769,141.721,4.31792e-08
77.4501,-15.1151,144.922,6.71444e-08
35.5285,-23.4961,138.933,1.27839e-08
32.2944,49.1704,150.544,2.77014e-08
20.9442,46.3006,150.632,4.60896e-08
24.2115,11.0048,182.066,1.95417e-06
19.9715,21.7291,178.358,7.24814e-06
30.6366,16.2046,158.707,0.158127
-0.00011924,-0.000187199,71.2305,0.0770997
12.5513,138.818,256.172,6.9218e-08
25.6551,99.4046,223.248,4.94329e-08
55.9389,103.608,231.043,6.05269e-08
61.3605,97.1829,230.475,1.73422e-08
60.166,82.5826,263.826,2.0058e-08
61.3114,88.5936,267.416,2.83271e-08
70.4774,123.956,254.245,4.098e-08
72.5848,120.862,257.528,1.90848e-08
70.2362,126.477,257.69,2.03654e-08
50.9949,121.343,230.945,4.9542e-08
41.1248,115.327,210.24,1.72349e-08
62.5944,85.3742,178.501,1.06411e-09
45.9457,82.2382,197.009,1.2294e-07
6.72309,75.3589,176.656,1.07011e-08
-16.011,87.5485,111.681,3.13412e-08
-8.75976,87.5813,114.001,5.44242e-09
-16.7537,76.5351,69.4442,7.75944e-08
-90.8197,4.57618,418.145,1.7495e-08
-78.9224,1.40799,417.064,7.78145e-08
-81.9647,-5.66232,440.06,8.84884e-08
-80.6983,-31.0934,439.063,3.15285e-08
-61.3075,-45.7981,445.25,4.19423e-08
-37.4403,-82.542,456.137,4.30227e-08
-48.8255,-86.7616,472.327,0.000251597
-11.1517,-61.7475,445.323,0.396436
-7.25616e-05,0.000270007,209.033,0.0995298
0.000235193,0.000477403,164.266,0.226258
25.3392,25.4651,143.348,2.25791e-08
-24.3825,12.2581,121.08,1.59635e-08
-22.5922,11.35,123.088,3.58996e-08
-45.9381,-8.51395,179.285,8.70768e-08
-60.6584,-10.3206,174.63,4.12911e-08
-68.2811,-16.9692,182.213,8.90941e-09
-69.7864,-13.6044,180.735,6.67806e-08
-51.5227,-32.9456,141.713,5.30672e-08
-43.5004,-30.8565,146.703,6.01849e-08
-44.2659,-16.0608,158.513,7.12953e-08
-25.6141,-33.8525,139.683,1.81444e-08
-25.0688,-36.4715,141.57,1.22825e-07
-32.9739,-49.0442,150.638,6.2113e-08
-48.7041,-54.336,152.951,5.31054e-08
-65.5436,-80.3749,151.331,6.40557e-08
-69.9582,-82.5789,153.391,2.05018e-08
-61.0338,-41.9223,127.008,2.69029e-09
-49.2554,-53.3599,115.634,9.86838e-08
-55.3871,-62.2982,114.569,3.00024e-08
-64.3512,-33.3076,114.616,4.4929e-10
-51.2989,-40.2033,88.1741,1.98957e-07
-52.2603,-43.4447,81.0317,1.01654e-05
-11.5985,-37.3906,114.02,0.0222149
2.27906,-52.7539,52.5777,0.0813752
0.000195313,5.31988e-05,145.964,2.19041
17.2345,-11.9077,63.8624,0.0510241
9.24378,-2.85669,76.9901,0.43333
15.5663,-3.56442,79.6983,0.204576
-5.55197e-06,-0.000203112,158.678,2.18894
4.00177,48.3219,34.39,1.89139e-08
-10.8576,46.2684,30.6361,9.48057e-09
17.4119,-2.33896,41.3599,2.68683e-08
58.2139,-9.21132,106.909,3.11993e-08
55.7997,-4.0444,111.359,3.48537e-08
-128.817,140.659,166.327,0.236165
-130.263,117.15,163.485,0.0065727
-126.548,89.0939,165.764,0.0828641
0.000666835,-0.000405873,178.616,0.983117
57.5807,115.149,190.641,5.00149e-08
41.516,104.025,155.905,1.07279e-07
38.7509,104.401,156.306,1.51322e-08
-68.1415,-63.1992,329.473,7.36873e-09
-26.4918,-49.9597,267.476,1.05591e-07
-28.8208,-46.5379,269.289,2.94094e-08
